source	line	kind	declaration
accordion.rs	17	public	pub struct Accordion {
accordion.rs	23	impl	impl Accordion {
accordion.rs	24	public	pub fn new(id: impl Into<ElementId>) -> Self {
accordion.rs	33	impl	impl Styled for Accordion {
accordion.rs	39	impl	impl ParentElement for Accordion {
accordion.rs	45	impl	impl InteractiveElement for Accordion {
accordion.rs	56	impl	impl StatefulInteractiveElement for Accordion {}
accordion.rs	58	impl	impl RenderOnce for Accordion {
accordion.rs	69	public	pub struct AccordionItem {
accordion.rs	79	impl	impl AccordionItem {
accordion.rs	80	public	pub fn new() -> Self {
accordion.rs	91	public	pub fn open(mut self, open: bool) -> Self {
accordion.rs	96	public	pub fn disabled(mut self, disabled: bool) -> Self {
accordion.rs	101	public	pub fn header(mut self, header: AccordionHeader) -> Self {
accordion.rs	106	public	pub fn panel(mut self, panel: AccordionPanel) -> Self {
accordion.rs	112	impl	impl Styled for AccordionItem {
accordion.rs	118	impl	impl ParentElement for AccordionItem {
accordion.rs	124	impl	impl RenderOnce for AccordionItem {
accordion.rs	138	public	pub struct AccordionHeader {
accordion.rs	146	impl	impl AccordionHeader {
accordion.rs	147	public	pub fn new(trigger: AccordionTrigger) -> Self {
accordion.rs	156	public	pub fn level(mut self, level: usize) -> Self {
accordion.rs	161	public	pub fn id(mut self, id: impl Into<ElementId>) -> Self {
accordion.rs	176	impl	impl Styled for AccordionHeader {
accordion.rs	182	impl	impl ParentElement for AccordionHeader {
accordion.rs	188	impl	impl RenderOnce for AccordionHeader {
accordion.rs	208	public	pub struct AccordionPanel {
accordion.rs	216	impl	impl AccordionPanel {
accordion.rs	217	public	pub fn new() -> Self {
accordion.rs	227	public	pub fn open(mut self, open: bool) -> Self {
accordion.rs	232	public	pub fn keep_mounted(mut self, keep_mounted: bool) -> Self {
accordion.rs	237	public	pub fn id(mut self, id: impl Into<ElementId>) -> Self {
accordion.rs	243	impl	impl Styled for AccordionPanel {
accordion.rs	249	impl	impl ParentElement for AccordionPanel {
accordion.rs	255	impl	impl RenderOnce for AccordionPanel {
accordion.rs	278	public	pub struct AccordionTrigger {
accordion.rs	287	impl	impl AccordionTrigger {
accordion.rs	288	public	pub fn new(id: impl Into<ElementId>) -> Self {
accordion.rs	299	public	pub fn open(mut self, open: bool) -> Self {
accordion.rs	304	public	pub fn disabled(mut self, disabled: bool) -> Self {
accordion.rs	310	public	pub fn on_change( mut self, handler: impl Fn(bool, &ClickEvent, &mut Window, &mut App) + 'static, ) -> Self {
accordion.rs	319	impl	impl Styled for AccordionTrigger {
accordion.rs	325	impl	impl ParentElement for AccordionTrigger {
accordion.rs	331	impl	impl InteractiveElement for AccordionTrigger {
accordion.rs	342	impl	impl StatefulInteractiveElement for AccordionTrigger {}
accordion.rs	344	impl	impl RenderOnce for AccordionTrigger {
actions.rs	8	public	pub struct Confirm {
actions.rs	10	public	pub secondary: bool,
alert_dialog.rs	14	public	pub struct $name {
alert_dialog.rs	18	impl	impl $name {
alert_dialog.rs	19	public	pub fn new() -> Self {
alert_dialog.rs	26	impl	impl Default for $name {
alert_dialog.rs	31	impl	impl ParentElement for $name {
alert_dialog.rs	36	impl	impl Styled for $name {
alert_dialog.rs	41	impl	impl RenderOnce for $name {
alert_dialog.rs	58	public	pub struct AlertDialogTrigger {
alert_dialog.rs	63	impl	impl AlertDialogTrigger {
alert_dialog.rs	64	public	pub fn new(trigger: impl IntoElement) -> Self {
alert_dialog.rs	71	public	pub fn on_open(mut self, open: impl Fn(&mut Window, &mut App) + 'static) -> Self {
alert_dialog.rs	75	public	pub fn handle(mut self, handle: DialogHandle) -> Self {
alert_dialog.rs	80	impl	impl RenderOnce for AlertDialogTrigger {
alert_dialog.rs	97	public	pub struct $name {
alert_dialog.rs	101	impl	impl $name {
alert_dialog.rs	102	public	pub fn new() -> Self {
alert_dialog.rs	109	impl	impl Default for $name {
alert_dialog.rs	114	impl	impl ParentElement for $name {
alert_dialog.rs	119	impl	impl Styled for $name {
alert_dialog.rs	124	impl	impl RenderOnce for $name {
alert_dialog.rs	142	public	pub struct AlertDialogAction {
alert_dialog.rs	147	impl	impl AlertDialogAction {
alert_dialog.rs	148	public	pub fn new() -> Self {
alert_dialog.rs	156	impl	impl Default for AlertDialogAction {
alert_dialog.rs	162	impl	impl ParentElement for AlertDialogAction {
alert_dialog.rs	168	impl	impl Styled for AlertDialogAction {
alert_dialog.rs	174	impl	impl RenderOnce for AlertDialogAction {
alert_dialog.rs	187	public	pub struct AlertDialog(Dialog);
alert_dialog.rs	189	impl	impl AlertDialog {
alert_dialog.rs	190	public	pub fn new(cx: &mut App) -> Self {
alert_dialog.rs	197	public	pub fn open(mut self, open: bool) -> Self {
alert_dialog.rs	201	public	pub fn handle(mut self, handle: DialogHandle) -> Self {
alert_dialog.rs	205	public	pub fn on_open_change( mut self, handler: impl Fn(bool, DialogChangeReason, &mut Window, &mut App) + 'static, ) -> Self {
alert_dialog.rs	212	public	pub fn backdrop(mut self, element: impl IntoElement) -> Self {
alert_dialog.rs	216	public	pub fn popup(mut self, element: impl IntoElement) -> Self {
alert_dialog.rs	220	public	pub fn close_on_escape(mut self, value: bool) -> Self {
alert_dialog.rs	224	public	pub fn dismiss_below_y(mut self, value: Pixels) -> Self {
alert_dialog.rs	228	public	pub fn on_ok( mut self, handler: impl Fn(&ClickEvent, &mut Window, &mut App) -> bool + 'static, ) -> Self {
alert_dialog.rs	235	public	pub fn on_cancel( mut self, handler: impl Fn(&ClickEvent, &mut Window, &mut App) -> bool + 'static, ) -> Self {
alert_dialog.rs	242	public	pub fn on_close( mut self, handler: impl Fn(&ClickEvent, &mut Window, &mut App) + 'static, ) -> Self {
alert_dialog.rs	250	public	pub fn layer(mut self, index: usize, topmost: bool) -> Self {
alert_dialog.rs	255	public	pub fn focus_handle(mut self, value: FocusHandle) -> Self {
alert_dialog.rs	260	public	pub fn request_close( mut self, handler: impl Fn(bool, &mut Window, &mut App) + 'static, ) -> Self {
alert_dialog.rs	269	impl	impl ParentElement for AlertDialog {
alert_dialog.rs	274	impl	impl IntoElement for AlertDialog {
animation.rs	14	public	pub fn cubic_bezier(x1: f32, y1: f32, x2: f32, y2: f32) -> impl Fn(f32) -> f32 {
animation.rs	68	public	pub fn ease_out_cubic(t: f32) -> f32 {
animation.rs	74	public	pub fn ease_in_cubic(t: f32) -> f32 {
animation.rs	80	public	pub fn ease_in_out_cubic(t: f32) -> f32 {
animation.rs	92	public	pub trait Lerp: Clone {
animation.rs	93	trait-member	fn lerp(&self, target: &Self, t: f32) -> Self;
animation.rs	96	impl	impl Lerp for f32 {
animation.rs	102	impl	impl Lerp for Pixels {
animation.rs	110	impl	impl Lerp for Point<Pixels> {
animation.rs	119	impl	impl Lerp for Hsla {
animation.rs	152	public	pub struct EffectTransition {
animation.rs	153	public	pub duration: Duration,
animation.rs	167	impl	impl EffectTransition {
animation.rs	168	public	pub fn new(duration: Duration) -> Self {
animation.rs	177	public	pub fn ease(mut self, easing: impl Fn(f32) -> f32 + 'static) -> Self {
animation.rs	183	public	pub fn slide_y(mut self, from: Pixels, to: Pixels) -> Self {
animation.rs	189	public	pub fn slide_x(mut self, from: Pixels, to: Pixels) -> Self {
animation.rs	195	public	pub fn fade(mut self, from: f32, to: f32) -> Self {
animation.rs	201	public	pub fn width(mut self, from: Pixels, to: Pixels) -> Self {
animation.rs	207	public	pub fn height(mut self, from: Pixels, to: Pixels) -> Self {
animation.rs	213	public	pub fn apply<E: IntoElement + Styled + 'static>( self, element: E, id: impl Into<ElementId>, ) -> gpui::AnimationElement<E> {
animation.rs	249	impl	impl FluentBuilder for EffectTransition {}
animation.rs	256	public	pub type Transition = EffectTransition;
async_util.rs	4	public	pub use smol::channel::{Receiver, Sender, unbounded};
async_util.rs	7	public	pub use async_channel::{Receiver, Sender, unbounded};
auto_scroll.rs	10	public	pub struct AutoScroll {
auto_scroll.rs	16	public	pub last_drag_position: Option<Point<Pixels>>,
auto_scroll.rs	19	impl	impl Default for AutoScroll {
auto_scroll.rs	29	impl	impl AutoScroll {
auto_scroll.rs	31	public	pub fn delta(&self) -> Option<Pixels> {
auto_scroll.rs	36	public	pub fn compute_delta(y: Pixels, bounds: Bounds<Pixels>) -> Option<Pixels> {
auto_scroll.rs	65	public	pub fn set<T, F>(&mut self, delta: Option<Pixels>, cx: &mut Context<T>, tick: F) where T: 'static, F: Fn(Pixels, &mut T, &mut Context<T>) + Send + 'static, {
auto_scroll.rs	114	public	pub fn is_active(&self) -> bool {
auto_scroll.rs	119	public	pub fn stop(&mut self) {
avatar.rs	11	public	pub struct Avatar {
avatar.rs	18	impl	impl Avatar {
avatar.rs	19	public	pub fn new() -> Self {
avatar.rs	28	public	pub fn image(mut self, image: AvatarImage) -> Self {
avatar.rs	33	public	pub fn fallback(mut self, fallback: AvatarFallback) -> Self {
avatar.rs	39	impl	impl Default for Avatar {
avatar.rs	45	impl	impl Styled for Avatar {
avatar.rs	51	impl	impl InteractiveElement for Avatar {
avatar.rs	57	impl	impl RenderOnce for Avatar {
avatar.rs	69	public	pub struct AvatarImage {
avatar.rs	74	impl	impl AvatarImage {
avatar.rs	75	public	pub fn new(source: impl Into<ImageSource>) -> Self {
avatar.rs	83	impl	impl Styled for AvatarImage {
avatar.rs	89	impl	impl InteractiveElement for AvatarImage {
avatar.rs	95	impl	impl RenderOnce for AvatarImage {
avatar.rs	103	public	pub struct AvatarFallback {
avatar.rs	109	impl	impl AvatarFallback {
avatar.rs	110	public	pub fn new() -> Self {
avatar.rs	119	impl	impl Default for AvatarFallback {
avatar.rs	125	impl	impl Styled for AvatarFallback {
avatar.rs	131	impl	impl ParentElement for AvatarFallback {
avatar.rs	137	impl	impl RenderOnce for AvatarFallback {
button.rs	20	public	pub struct Button {
button.rs	37	impl	impl Button {
button.rs	38	public	pub fn new(id: impl Into<ElementId>) -> Self {
button.rs	59	public	pub fn disabled(mut self, disabled: bool) -> Self {
button.rs	70	public	pub fn selected(mut self, selected: bool) -> Self {
button.rs	76	public	pub fn styles(mut self, build: impl FnOnce(ButtonStyles) -> ButtonStyles) -> Self {
button.rs	82	public	pub fn accessibility_label(mut self, label: impl Into<SharedString>) -> Self {
button.rs	88	public	pub fn role(mut self, role: impl Into<RoleOverride>) -> Self {
button.rs	94	public	pub fn track_focus(mut self, focus_handle: &FocusHandle) -> Self {
button.rs	100	public	pub fn on_click( mut self, handler: impl Fn(&ClickEvent, &mut Window, &mut App) + 'static, ) -> Self {
button.rs	109	public	pub fn tab_index(mut self, tab_index: isize) -> Self {
button.rs	115	public	pub fn tab_stop(mut self, tab_stop: bool) -> Self {
button.rs	127	public	pub fn focusable(mut self, focusable: bool) -> Self {
button.rs	154	impl	impl Selectable for Button {
button.rs	166	public	pub struct ButtonStyles {
button.rs	171	impl	impl ButtonStyles {
button.rs	173	public	pub fn selected(mut self, build: impl FnOnce(StateStyle) -> StateStyle) -> Self {
button.rs	180	public	pub fn disabled(mut self, build: impl FnOnce(StateStyle) -> StateStyle) -> Self {
button.rs	187	impl	impl Styled for Button {
button.rs	193	impl	impl ParentElement for Button {
button.rs	199	impl	impl InteractiveElement for Button {
button.rs	205	impl	impl StatefulInteractiveElement for Button {}
button.rs	207	impl	impl RenderOnce for Button {
calendar.rs	14	public	pub enum Date {
calendar.rs	19	impl	impl std::fmt::Display for Date {
calendar.rs	31	impl	impl From<NaiveDate> for Date {
calendar.rs	36	impl	impl From<(NaiveDate, NaiveDate)> for Date {
calendar.rs	42	impl	impl Date {
calendar.rs	43	public	pub fn is_some(&self) -> bool {
calendar.rs	46	public	pub fn is_complete(&self) -> bool {
calendar.rs	49	public	pub fn start(&self) -> Option<NaiveDate> {
calendar.rs	55	public	pub fn end(&self) -> Option<NaiveDate> {
calendar.rs	61	public	pub fn format(&self, format: &str) -> Option<SharedString> {
calendar.rs	70	public	pub fn is_active(&self, value: &NaiveDate) -> bool {
calendar.rs	76	public	pub fn is_single(&self) -> bool {
calendar.rs	79	public	pub fn is_in_range(&self, value: &NaiveDate) -> bool {
calendar.rs	84	public	pub struct IntervalMatcher {
calendar.rs	88	public	pub struct RangeMatcher {
calendar.rs	92	public	pub enum Matcher {
calendar.rs	98	impl	impl From<Vec<u32>> for Matcher {
calendar.rs	103	impl	impl<F: Fn(&NaiveDate) -> bool + Send + Sync + 'static> From<F> for Matcher {
calendar.rs	108	impl	impl Matcher {
calendar.rs	109	public	pub fn interval(before: Option<NaiveDate>, after: Option<NaiveDate>) -> Self {
calendar.rs	112	public	pub fn range(from: Option<NaiveDate>, to: Option<NaiveDate>) -> Self {
calendar.rs	115	public	pub fn custom<F: Fn(&NaiveDate) -> bool + Send + Sync + 'static>(f: F) -> Self {
calendar.rs	118	public	pub fn is_match(&self, date: &Date) -> bool {
calendar.rs	125	public	pub fn matched(&self, date: &NaiveDate) -> bool {
calendar.rs	140	public	pub enum CalendarView {
calendar.rs	145	impl	impl CalendarView {
calendar.rs	146	public	pub fn is_day(self) -> bool {
calendar.rs	149	public	pub fn is_month(self) -> bool {
calendar.rs	152	public	pub fn is_year(self) -> bool {
calendar.rs	165	public	pub enum CalendarEvent {
calendar.rs	169	public	pub struct CalendarState {
calendar.rs	170	public	pub focus_handle: FocusHandle,
calendar.rs	182	impl	impl CalendarState {
calendar.rs	183	public	pub fn new(_: &mut Window, cx: &mut Context<Self>) -> Self {
calendar.rs	199	public	pub fn disabled_matcher(mut self, matcher: impl Into<Matcher>) -> Self {
calendar.rs	203	public	pub fn set_disabled_matcher( &mut self, matcher: impl Into<Matcher>, _: &mut Window, _: &mut Context<Self>, ) {
calendar.rs	211	public	pub fn set_disabled_matcher_shared(&mut self, matcher: Option<Rc<Matcher>>) {
calendar.rs	214	public	pub fn disabled_matcher_ref(&self) -> Option<&Matcher> {
calendar.rs	217	public	pub fn set_date(&mut self, date: impl Into<Date>, _: &mut Window, cx: &mut Context<Self>) {
calendar.rs	222	public	pub fn apply_date(&mut self, date: Date) -> bool {
calendar.rs	237	public	pub fn select_date(&mut self, value: NaiveDate) -> bool {
calendar.rs	261	public	pub fn activate_date(&mut self, value: NaiveDate, cx: &mut Context<Self>) -> bool {
calendar.rs	269	public	pub fn date(&self) -> Date {
calendar.rs	272	public	pub fn set_number_of_months(&mut self, n: usize, _: &mut Window, cx: &mut Context<Self>) {
calendar.rs	276	public	pub fn number_of_months(&self) -> usize {
calendar.rs	279	public	pub fn year_range(mut self, range: (i32, i32)) -> Self {
calendar.rs	283	public	pub fn set_year_range(&mut self, range: (i32, i32), cx: &mut Context<Self>) {
calendar.rs	299	public	pub fn offset_year_month(&self, offset: usize) -> (i32, u32) {
calendar.rs	306	public	pub fn days(&self) -> Vec<Vec<NaiveDate>> {
calendar.rs	311	public	pub fn month_days(&self) -> Vec<Vec<Vec<NaiveDate>>> {
calendar.rs	322	public	pub fn has_prev_year_page(&self) -> bool {
calendar.rs	325	public	pub fn has_next_year_page(&self) -> bool {
calendar.rs	328	public	pub fn prev_year_page(&mut self) -> bool {
calendar.rs	336	public	pub fn next_year_page(&mut self) -> bool {
calendar.rs	344	public	pub fn prev_month(&mut self) {
calendar.rs	352	public	pub fn next_month(&mut self) {
calendar.rs	360	public	pub fn view(&self) -> CalendarView {
calendar.rs	363	public	pub fn set_view(&mut self, view: CalendarView) {
calendar.rs	366	public	pub fn current_year(&self) -> i32 {
calendar.rs	369	public	pub fn current_month(&self) -> u8 {
calendar.rs	372	public	pub fn today(&self) -> NaiveDate {
calendar.rs	375	public	pub fn years_on_page(&self) -> &[i32] {
calendar.rs	381	public	pub fn select_month(&mut self, month: u8) {
calendar.rs	385	public	pub fn select_year(&mut self, year: i32) {
calendar.rs	390	impl	impl EventEmitter<CalendarEvent> for CalendarState {}
calendar.rs	391	impl	impl Render for CalendarState {
calendar.rs	399	public	pub enum CalendarItemKind {
calendar.rs	416	public	pub struct CalendarItemState {
calendar.rs	425	impl	impl CalendarItemState {
calendar.rs	427	public	pub fn new(kind: CalendarItemKind) -> Self {
calendar.rs	438	public	pub fn active(mut self, active: bool) -> Self {
calendar.rs	444	public	pub fn in_range(mut self, in_range: bool) -> Self {
calendar.rs	451	public	pub fn muted(mut self, muted: bool) -> Self {
calendar.rs	456	public	pub fn disabled(mut self, disabled: bool) -> Self {
calendar.rs	461	public	pub fn today(mut self, today: bool) -> Self {
calendar.rs	466	public	pub fn kind(&self) -> CalendarItemKind {
calendar.rs	470	public	pub fn is_active(&self) -> bool {
