source	line	kind	declaration
accordion.rs	18	public	pub struct Accordion {
accordion.rs	29	impl	impl Accordion {
accordion.rs	31	public	pub fn new(id: impl Into<ElementId>) -> Self {
accordion.rs	45	public	pub fn multiple(mut self, multiple: bool) -> Self {
accordion.rs	51	public	pub fn bordered(mut self, bordered: bool) -> Self {
accordion.rs	57	public	pub fn disabled(mut self, disabled: bool) -> Self {
accordion.rs	63	public	pub fn item<F>(mut self, child: F) -> Self where F: FnOnce(AccordionItem) -> AccordionItem, {
accordion.rs	75	public	pub fn on_toggle_click( mut self, on_toggle_click: impl Fn(&[usize], &mut Window, &mut App) + 'static, ) -> Self {
accordion.rs	84	impl	impl Sizable for Accordion {
accordion.rs	91	impl	impl Styled for Accordion {
accordion.rs	97	impl	impl RenderOnce for Accordion {
accordion.rs	160	public	pub struct AccordionItem {
accordion.rs	176	impl	impl AccordionItem {
accordion.rs	178	public	pub fn new() -> Self {
accordion.rs	197	public	pub fn icon(mut self, icon: impl Into<Icon>) -> Self {
accordion.rs	203	public	pub fn title(mut self, title: impl IntoElement) -> Self {
accordion.rs	208	public	pub fn open(mut self, open: bool) -> Self {
accordion.rs	213	public	pub fn disabled(mut self, disabled: bool) -> Self {
accordion.rs	219	public	pub fn title_style(mut self, style: StyleRefinement) -> Self {
accordion.rs	229	public	pub fn hover(mut self, f: impl FnOnce(StyleRefinement) -> StyleRefinement) -> Self {
accordion.rs	235	public	pub fn content_style(mut self, style: StyleRefinement) -> Self {
accordion.rs	259	impl	impl ParentElement for AccordionItem {
accordion.rs	265	impl	impl Sizable for AccordionItem {
accordion.rs	272	impl	impl Styled for AccordionItem {
accordion.rs	278	impl	impl RenderOnce for AccordionItem {
alert.rs	16	public	pub enum AlertVariant {
alert.rs	25	impl	impl AlertVariant {
alert.rs	59	public	pub struct Alert {
alert.rs	72	impl	impl Alert {
alert.rs	74	public	pub fn new(id: impl Into<ElementId>, message: impl Into<Text>) -> Self {
alert.rs	90	public	pub fn info(id: impl Into<ElementId>, message: impl Into<Text>) -> Self {
alert.rs	97	public	pub fn success(id: impl Into<ElementId>, message: impl Into<Text>) -> Self {
alert.rs	104	public	pub fn warning(id: impl Into<ElementId>, message: impl Into<Text>) -> Self {
alert.rs	111	public	pub fn error(id: impl Into<ElementId>, message: impl Into<Text>) -> Self {
alert.rs	118	public	pub fn with_variant(mut self, variant: AlertVariant) -> Self {
alert.rs	124	public	pub fn icon(mut self, icon: impl Into<Icon>) -> Self {
alert.rs	130	public	pub fn title(mut self, title: impl Into<SharedString>) -> Self {
alert.rs	139	public	pub fn banner(mut self) -> Self {
alert.rs	145	public	pub fn visible(mut self, visible: bool) -> Self {
alert.rs	151	public	pub fn on_close( mut self, on_close: impl Fn(&ClickEvent, &mut Window, &mut App) + 'static, ) -> Self {
alert.rs	160	impl	impl Sizable for Alert {
alert.rs	167	impl	impl Styled for Alert {
alert.rs	173	impl	impl RenderOnce for Alert {
attachment.rs	18	public	pub enum AttachmentStatus {
attachment.rs	32	impl	impl AttachmentStatus {
attachment.rs	34	public	pub fn is_pending(self) -> bool {
attachment.rs	39	public	pub fn is_uploading(self) -> bool {
attachment.rs	44	public	pub fn is_processing(self) -> bool {
attachment.rs	49	public	pub fn is_failed(self) -> bool {
attachment.rs	54	public	pub fn is_complete(self) -> bool {
attachment.rs	59	public	pub fn is_in_progress(self) -> bool {
attachment.rs	66	public	pub struct Attachment {
attachment.rs	78	impl	impl Attachment {
attachment.rs	80	public	pub fn new() -> Self {
attachment.rs	95	public	pub fn id(mut self, id: impl Into<ElementId>) -> Self {
attachment.rs	105	public	pub fn on_click( mut self, handler: impl Fn(&ClickEvent, &mut Window, &mut App) + 'static, ) -> Self {
attachment.rs	114	public	pub fn status(mut self, status: AttachmentStatus) -> Self {
attachment.rs	120	public	pub fn axis(mut self, axis: Axis) -> Self {
attachment.rs	126	public	pub fn media(mut self, media: AttachmentMedia) -> Self {
attachment.rs	132	public	pub fn content(mut self, content: AttachmentContent) -> Self {
attachment.rs	138	public	pub fn actions(mut self, actions: AttachmentActions) -> Self {
attachment.rs	144	impl	impl Default for Attachment {
attachment.rs	150	impl	impl Sizable for Attachment {
attachment.rs	157	impl	impl Styled for Attachment {
attachment.rs	163	impl	impl Attachment {
attachment.rs	184	impl	impl RenderOnce for Attachment {
attachment.rs	258	public	pub struct AttachmentMedia {
attachment.rs	267	impl	impl AttachmentMedia {
attachment.rs	269	public	pub fn new() -> Self {
attachment.rs	281	public	pub fn src(mut self, source: impl Into<ImageSource>) -> Self {
attachment.rs	287	public	pub fn overlay(mut self, overlay: impl IntoElement) -> Self {
attachment.rs	311	impl	impl Default for AttachmentMedia {
attachment.rs	317	impl	impl ParentElement for AttachmentMedia {
attachment.rs	323	impl	impl Sizable for AttachmentMedia {
attachment.rs	330	impl	impl Styled for AttachmentMedia {
attachment.rs	336	impl	impl RenderOnce for AttachmentMedia {
attachment.rs	399	public	pub struct AttachmentContent {
attachment.rs	411	impl	impl AttachmentContent {
attachment.rs	413	public	pub fn new() -> Self {
attachment.rs	422	public	pub fn title(mut self, title: AttachmentTitle) -> Self {
attachment.rs	428	public	pub fn description(mut self, description: AttachmentDescription) -> Self {
attachment.rs	457	impl	impl Default for AttachmentContent {
attachment.rs	463	impl	impl ParentElement for AttachmentContent {
attachment.rs	470	impl	impl Styled for AttachmentContent {
attachment.rs	476	impl	impl RenderOnce for AttachmentContent {
attachment.rs	496	public	pub struct AttachmentTitle {
attachment.rs	503	impl	impl AttachmentTitle {
attachment.rs	505	public	pub fn new(text: impl Into<SharedString>) -> Self {
attachment.rs	515	public	pub fn status(mut self, status: AttachmentStatus) -> Self {
attachment.rs	521	public	pub fn with_shimmer_style(mut self, style: ShimmerStyle) -> Self {
attachment.rs	527	impl	impl Styled for AttachmentTitle {
attachment.rs	533	impl	impl RenderOnce for AttachmentTitle {
attachment.rs	559	public	pub struct AttachmentDescription {
attachment.rs	565	impl	impl AttachmentDescription {
attachment.rs	567	public	pub fn new(text: impl Into<SharedString>) -> Self {
attachment.rs	576	public	pub fn status(mut self, status: AttachmentStatus) -> Self {
attachment.rs	582	impl	impl Styled for AttachmentDescription {
attachment.rs	588	impl	impl RenderOnce for AttachmentDescription {
attachment.rs	614	public	pub struct AttachmentActions {
attachment.rs	620	impl	impl AttachmentActions {
attachment.rs	622	public	pub fn new() -> Self {
attachment.rs	636	impl	impl Default for AttachmentActions {
attachment.rs	642	impl	impl ParentElement for AttachmentActions {
attachment.rs	648	impl	impl Styled for AttachmentActions {
attachment.rs	654	impl	impl RenderOnce for AttachmentActions {
attachment.rs	712	public	pub struct AttachmentGroup {
attachment.rs	718	impl	impl AttachmentGroup {
attachment.rs	720	public	pub fn new(id: impl Into<ElementId>) -> Self {
attachment.rs	729	impl	impl ParentElement for AttachmentGroup {
attachment.rs	735	impl	impl Styled for AttachmentGroup {
attachment.rs	741	impl	impl RenderOnce for AttachmentGroup {
avatar/avatar.rs	17	public	pub struct Avatar {
avatar/avatar.rs	27	impl	impl Avatar {
avatar/avatar.rs	28	public	pub fn new() -> Self {
avatar/avatar.rs	41	public	pub fn src(mut self, source: impl Into<ImageSource>) -> Self {
avatar/avatar.rs	47	public	pub fn name(mut self, name: impl Into<SharedString>) -> Self {
avatar/avatar.rs	57	public	pub fn placeholder(mut self, icon: impl Into<Icon>) -> Self {
avatar/avatar.rs	63	impl	impl Sizable for Avatar {
avatar/avatar.rs	70	impl	impl Styled for Avatar {
avatar/avatar.rs	76	impl	impl InteractiveElement for Avatar {
avatar/avatar.rs	82	impl	impl RenderOnce for Avatar {
avatar/avatar.rs	153	impl	impl IdentityColor {
avatar/avatar_group.rs	10	public	pub struct AvatarGroup {
avatar/avatar_group.rs	19	impl	impl AvatarGroup {
avatar/avatar_group.rs	21	public	pub fn new() -> Self {
avatar/avatar_group.rs	33	public	pub fn child(mut self, avatar: Avatar) -> Self {
